
----------------------------------------------- [START 2026-03-16 18:07:49] ---------------------------------------------------

Train Inter:300 | loss:  1.0255908 |BUAA_my_rm : 1.0012851 |CM : -0.012765836 |DM : 0.024305671 |TA : 0.13721669 | 0 hr 00 min
Train Inter:400 | loss:  1.0072285 |BUAA_my_rm : 1.0003045 |CM : -0.012454453 |DM : 0.0069240686 |TA : 0.13832366 | 0 hr 00 min
Train Inter:500 | loss:  1.0318737 |BUAA_my_rm : 0.9999031 |CM : -0.012383253 |DM : 0.031970575 |TA : 0.1316824 | 0 hr 01 min
Train Inter:600 | loss:  1.0417709 |BUAA_my_rm : 1.0005425 |CM : -0.012921074 |DM : 0.041228376 |TA : 0.14512199 | 0 hr 01 min
Train Inter:700 | loss:  0.9916063 |BUAA_my_rm : 0.97961664 |CM : -0.01282721 |DM : 0.011989642 |TA : 0.13148165 | 0 hr 01 min
Train Inter:800 | loss:  1.1481923 |BUAA_my_rm : 1.0013213 |CM : -0.014414558 |DM : 0.14687094 |TA : 0.14074999 | 0 hr 01 min
Train Inter:900 | loss:  1.0407293 |BUAA_my_rm : 0.99876696 |CM : -0.014084486 |DM : 0.041962355 |TA : 0.1456995 | 0 hr 02 min
Train Inter:1000 | loss:  1.0126182 |BUAA_my_rm : 1.001663 |CM : -0.014025218 |DM : 0.010955193 |TA : 0.15453541 | 0 hr 02 min

----------------------------------------------- [START 2026-03-16 23:06:52] ---------------------------------------------------

Train Inter:0 | loss:  1.4996177 |BUAA_my_rm : 0.9939056 |CM : -0.011025163 |DM : 0.5057121 |TA : 0.06677997 | 0 hr 00 min
Train Inter:100 | loss:  1.0304915 |BUAA_my_rm : 1.0002432 |CM : -0.0123112155 |DM : 0.03024823 |TA : 0.12366307 | 0 hr 00 min
Train Inter:200 | loss:  1.0088319 |BUAA_my_rm : 1.0003341 |CM : -0.012257116 |DM : 0.008497697 |TA : 0.13744938 | 0 hr 00 min
Train Inter:300 | loss:  1.0255908 |BUAA_my_rm : 1.0012851 |CM : -0.012765836 |DM : 0.024305671 |TA : 0.13721669 | 0 hr 00 min
